legal_dong_code,legal_dong_tip,COL_ADM_SECT_CD,SGG_OID,center_latitude,center_longitude,radius_km,filename
2671025925,문중리,26710,4823,35.30334960776562,129.253324509488,0.751,LSMD_ADM_SECT_RI_26_202511.shp
2671033030,안평리,26710,4805,35.237483485042894,129.17911877478033,2.744,LSMD_ADM_SECT_RI_26_202511.shp
2671025326,덕선리,26710,4759,35.336527145472395,129.22098126880874,2.174,LSMD_ADM_SECT_RI_26_202511.shp
2671025922,이천리,26710,4762,35.27540046946156,129.24159595064305,1.972,LSMD_ADM_SECT_RI_26_202511.shp
2671025923,학리,26710,4769,35.253820266798385,129.24743258271138,1.209,LSMD_ADM_SECT_RI_26_202511.shp
2671033029,고촌리,26710,4804,35.244766907060146,129.16156082651136,1.792,LSMD_ADM_SECT_RI_26_202511.shp
2671025928,문동리,26710,4760,35.30932457644872,129.2565113319171,0.8,LSMD_ADM_SECT_RI_26_202511.shp
2671025034,내리,26710,4806,35.21118335889764,129.18731390401257,3.181,LSMD_ADM_SECT_RI_26_202511.shp
2671025926,신평리,26710,4824,35.296470358886566,129.25289172756396,1.021,LSMD_ADM_SECT_RI_26_202511.shp
2671025329,명례리,26710,4737,35.377577220256654,129.25655368891526,1.794,LSMD_ADM_SECT_RI_26_202511.shp
2671025333,오리,26710,4738,35.36069099903533,129.27302278919868,2.412,LSMD_ADM_SECT_RI_26_202511.shp
2671025626,병산리,26710,4740,35.35338679164347,129.19484218425114,2.664,LSMD_ADM_SECT_RI_26_202511.shp
2671025328,기룡리,26710,4742,35.3559777153091,129.2463312805821,2.55,LSMD_ADM_SECT_RI_26_202511.shp
2671025028,대변리,26710,5077,35.227513331803216,129.2315589212963,1.55,LSMD_ADM_SECT_RI_26_202511.shp
2671025321,좌천리,26710,5078,35.31541842789815,129.24063360221075,1.605,LSMD_ADM_SECT_RI_26_202511.shp
2671025325,장안리,26710,4741,35.372733490057854,129.2253840669117,3.306,LSMD_ADM_SECT_RI_26_202511.shp
2771031027,단산리,27710,233,35.76351504186137,128.66512915592944,1.88,LSMD_ADM_SECT_RI_27_202511.shp
2771031028,대일리,27710,234,35.76584995183502,128.6323186538126,2.195,LSMD_ADM_SECT_RI_27_202511.shp
2771031030,옥분리,27710,238,35.74585521539517,128.64741188303606,2.383,LSMD_ADM_SECT_RI_27_202511.shp
2771025321,노이리,27710,235,35.75773667406831,128.44661745673466,2.812,LSMD_ADM_SECT_RI_27_202511.shp
2771026227,반송리,27710,236,35.747444859180796,128.5177252206384,3.348,LSMD_ADM_SECT_RI_27_202511.shp
2771031029,주리,27710,237,35.751166175112054,128.6213748666365,2.902,LSMD_ADM_SECT_RI_27_202511.shp
2771033024,대평리,27710,209,35.93292126508682,128.46529216573774,1.552,LSMD_ADM_SECT_RI_27_202511.shp
2771033023,기곡리,27710,210,35.92468742815142,128.44205093148028,2.052,LSMD_ADM_SECT_RI_27_202511.shp
2771033025,무등리,27710,211,35.91274328517742,128.46115659068957,2.253,LSMD_ADM_SECT_RI_27_202511.shp
